ObjectId,Country,ISO2,ISO3,Indicator,Source,CTS_Code,CTS_Name,CTS_Full_Descriptor,Unit,F1995,F1996,F1997,F1998,F1999,F2000,F2001,F2002,F2003,F2004,F2005,F2006,F2007,F2008,F2009,F2010,F2011,F2012,F2013,F2014,F2015,F2016,F2017,F2018,F2019,F2020,F2021
18,Antigua and Barbuda,AG,ATG,Taxes on Energy (including fuel for transport),"Organisation for Economic Co-operation and Development (2020), Environmentally Related Tax Revenue, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=ERTR. Accessed on 2022-10-05; International Monetary Fund (IMF), Statistics Department (Government Finance Division) Questionnaire.",ECGTEN,Taxes on Energy (Including Fuel for Transport),"Environment, Climate Change, Government Policy, Taxes, Environmental Taxes, Taxes on Energy (Including Fuel for Transport)",Domestic Currency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11610000,0,1510000,13800000,560000,5360000,1900000,4860000,4380000,4000000,3760000,
19,Antigua and Barbuda,AG,ATG,Taxes on Energy (including fuel for transport),"Organisation for Economic Co-operation and Development (2020), Environmentally Related Tax Revenue, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=ERTR. Accessed on 2022-10-05; International Monetary Fund (IMF), Statistics Department (Government Finance Division) Questionnaire.",ECGTEN,Taxes on Energy (Including Fuel for Transport),"Environment, Climate Change, Government Policy, Taxes, Environmental Taxes, Taxes on Energy (Including Fuel for Transport)",Percent of GDP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0.05,0.43,0.02,0.15,0.05,0.12,0.1,0.09,0.1,
20,Antigua and Barbuda,AG,ATG,Taxes on Pollution,"Organisation for Economic Co-operation and Development (2020), Environmentally Related Tax Revenue, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=ERTR. Accessed on 2022-10-05; International Monetary Fund (IMF), Statistics Department (Government Finance Division) Questionnaire.",ECGTEP,Taxes on Pollution,"Environment, Climate Change, Government Policy, Taxes, Environmental Taxes, Taxes on Pollution",Domestic Currency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
21,Antigua and Barbuda,AG,ATG,Taxes on Pollution,"Organisation for Economic Co-operation and Development (2020), Environmentally Related Tax Revenue, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=ERTR. Accessed on 2022-10-05; International Monetary Fund (IMF), Statistics Department (Government Finance Division) Questionnaire.",ECGTEP,Taxes on Pollution,"Environment, Climate Change, Government Policy, Taxes, Environmental Taxes, Taxes on Pollution",Percent of GDP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
22,Antigua and Barbuda,AG,ATG,Taxes on Resources,"Organisation for Economic Co-operation and Development (2020), Environmentally Related Tax Revenue, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=ERTR. Accessed on 2022-10-05; International Monetary Fund (IMF), Statistics Department (Government Finance Division) Questionnaire.",ECGTER,Taxes on Resources,"Environment, Climate Change, Government Policy, Taxes, Environmental Taxes, Taxes on Resources",Domestic Currency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
23,Antigua and Barbuda,AG,ATG,Taxes on Resources,"Organisation for Economic Co-operation and Development (2020), Environmentally Related Tax Revenue, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=ERTR. Accessed on 2022-10-05; International Monetary Fund (IMF), Statistics Department (Government Finance Division) Questionnaire.",ECGTER,Taxes on Resources,"Environment, Climate Change, Government Policy, Taxes, Environmental Taxes, Taxes on Resources",Percent of GDP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
24,Antigua and Barbuda,AG,ATG,Taxes on Transport (excluding fuel for transport),"Organisation for Economic Co-operation and Development (2020), Environmentally Related Tax Revenue, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=ERTR. Accessed on 2022-10-05; International Monetary Fund (IMF), Statistics Department (Government Finance Division) Questionnaire.",ECGTET,Taxes on Transport (Excluding Fuel for Transport),"Environment, Climate Change, Government Policy, Taxes, Environmental Taxes, Taxes on Transport (Excluding Fuel for Transport)",Domestic Currency,2400000,3400000,2900000,3000000,2800000,4200000,4000000,4100000,3600000,20040000,19740000,20240000,22440000,24530000,17410000,7970000,7720000,7170000,9420000,7350000,7940000,7150000,7600000,9270000,9130000,4240000,
25,Antigua and Barbuda,AG,ATG,Taxes on Transport (excluding fuel for transport),"Organisation for Economic Co-operation and Development (2020), Environmentally Related Tax Revenue, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=ERTR. Accessed on 2022-10-05; International Monetary Fund (IMF), Statistics Department (Government Finance Division) Questionnaire.",ECGTET,Taxes on Transport (Excluding Fuel for Transport),"Environment, Climate Change, Government Policy, Taxes, Environmental Taxes, Taxes on Transport (Excluding Fuel for Transport)",Percent of GDP,0.15,0.2,0.16,0.15,0.14,0.19,0.19,0.19,0.16,0.81,0.71,0.65,0.63,0.66,0.52,0.26,0.25,0.22,0.3,0.22,0.22,0.18,0.19,0.21,0.2,0.11,
26,Argentina,AR,ARG,Environmental Taxes,"Organisation for Economic Co-operation and Development (2020), Environmentally Related Tax Revenue, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=ERTR. Accessed on 2022-10-05; International Monetary Fund (IMF), Statistics Department (Government Finance Division) Questionnaire.",ECGTE,Environmental Taxes,"Environment, Climate Change, Government Policy, Taxes, Environmental Taxes",Domestic Currency,4573120000,5682790000,9057040000,8743250000,8355700000,8014280000,7826790000,9846420000,11019830000,12054800000,13607190000,15210960000,17390130000,22466550000,27009720000,34754080000,41830610000,58743390000,71811540000,101713730000,130669900000,176170810000,243808270000,276957070000,389313290000,472254980000,
27,Argentina,AR,ARG,Environmental Taxes,"Organisation for Economic Co-operation and Development (2020), Environmentally Related Tax Revenue, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=ERTR. Accessed on 2022-10-05; International Monetary Fund (IMF), Statistics Department (Government Finance Division) Questionnaire.",ECGTE,Environmental Taxes,"Environment, Climate Change, Government Policy, Taxes, Environmental Taxes",Percent of GDP,1.43,1.83,2.79,2.54,2.38,2.34,2.33,2.35,2.7,2.48,2.34,2.12,1.94,1.95,2.16,2.09,1.92,2.23,2.14,2.22,2.19,2.14,2.29,1.9,1.82,1.75,
28,Argentina,AR,ARG,Taxes on Energy (including fuel for transport),"Organisation for Economic Co-operation and Development (2020), Environmentally Related Tax Revenue, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=ERTR. Accessed on 2022-10-05; International Monetary Fund (IMF), Statistics Department (Government Finance Division) Questionnaire.",ECGTEN,Taxes on Energy (Including Fuel for Transport),"Environment, Climate Change, Government Policy, Taxes, Environmental Taxes, Taxes on Energy (Including Fuel for Transport)",Domestic Currency,3761120000,4859790000,8026690000,7569030000,7339610000,7160730000,7047080000,9190680000,10149410000,11023350000,12317830000,13634990000,15469080000,19943280000,23746020000,31128570000,36879410000,52180880000,62567560000,89587600000,113546950000,151964460000,207458960000,234991710000,331150490000,396873130000,
29,Argentina,AR,ARG,Taxes on Energy (including fuel for transport),"Organisation for Economic Co-operation and Development (2020), Environmentally Related Tax Revenue, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=ERTR. Accessed on 2022-10-05; International Monetary Fund (IMF), Statistics Department (Government Finance Division) Questionnaire.",ECGTEN,Taxes on Energy (Including Fuel for Transport),"Environment, Climate Change, Government Policy, Taxes, Environmental Taxes, Taxes on Energy (Including Fuel for Transport)",Percent of GDP,1.18,1.57,2.47,2.2,2.09,2.09,2.1,2.2,2.48,2.27,2.11,1.9,1.72,1.73,1.9,1.87,1.69,1.98,1.87,1.96,1.91,1.85,1.95,1.62,1.54,1.47,
30,Argentina,AR,ARG,Taxes on Pollution,"Organisation for Economic Co-operation and Development (2020), Environmentally Related Tax Revenue, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=ERTR. Accessed on 2022-10-05; International Monetary Fund (IMF), Statistics Department (Government Finance Division) Questionnaire.",ECGTEP,Taxes on Pollution,"Environment, Climate Change, Government Policy, Taxes, Environmental Taxes, Taxes on Pollution",Domestic Currency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
31,Argentina,AR,ARG,Taxes on Pollution,"Organisation for Economic Co-operation and Development (2020), Environmentally Related Tax Revenue, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=ERTR. Accessed on 2022-10-05; International Monetary Fund (IMF), Statistics Department (Government Finance Division) Questionnaire.",ECGTEP,Taxes on Pollution,"Environment, Climate Change, Government Policy, Taxes, Environmental Taxes, Taxes on Pollution",Percent of GDP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
32,Argentina,AR,ARG,Taxes on Resources,"Organisation for Economic Co-operation and Development (2020), Environmentally Related Tax Revenue, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=ERTR. Accessed on 2022-10-05; International Monetary Fund (IMF), Statistics Department (Government Finance Division) Questionnaire.",ECGTER,Taxes on Resources,"Environment, Climate Change, Government Policy, Taxes, Environmental Taxes, Taxes on Resources",Domestic Currency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
33,Argentina,AR,ARG,Taxes on Resources,"Organisation for Economic Co-operation and Development (2020), Environmentally Related Tax Revenue, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=ERTR. Accessed on 2022-10-05; International Monetary Fund (IMF), Statistics Department (Government Finance Division) Questionnaire.",ECGTER,Taxes on Resources,"Environment, Climate Change, Government Policy, Taxes, Environmental Taxes, Taxes on Resources",Percent of GDP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
34,Argentina,AR,ARG,Taxes on Transport (excluding fuel for transport),"Organisation for Economic Co-operation and Development (2020), Environmentally Related Tax Revenue, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=ERTR. Accessed on 2022-10-05; International Monetary Fund (IMF), Statistics Department (Government Finance Division) Questionnaire.",ECGTET,Taxes on Transport (Excluding Fuel for Transport),"Environment, Climate Change, Government Policy, Taxes, Environmental Taxes, Taxes on Transport (Excluding Fuel for Transport)",Domestic Currency,812000000,823000000,1030350000,1174210000,1016100000,853550000,779720000,655750000,870420000,1031450000,1289360000,1575970000,1921060000,2523270000,3263700000,3625520000,4951210000,6562510000,9243970000,12126130000,17122950000,24206350000,36349310000,41965360000,58162800000,75381840000,
35,Argentina,AR,ARG,Taxes on Transport (excluding fuel for transport),"Organisation for Economic Co-operation and Development (2020), Environmentally Related Tax Revenue, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=ERTR. Accessed on 2022-10-05; International Monetary Fund (IMF), Statistics Department (Government Finance Division) Questionnaire.",ECGTET,Taxes on Transport (Excluding Fuel for Transport),"Environment, Climate Change, Government Policy, Taxes, Environmental Taxes, Taxes on Transport (Excluding Fuel for Transport)",Percent of GDP,0.25,0.27,0.32,0.34,0.29,0.25,0.23,0.16,0.21,0.21,0.22,0.22,0.21,0.22,0.26,0.22,0.23,0.25,0.28,0.26,0.29,0.29,0.34,0.29,0.27,0.28,
36,"Armenia, Rep. of",AM,ARM,Environmental Taxes,"Organisation for Economic Co-operation and Development (2020), Environmentally Related Tax Revenue, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=ERTR. Accessed on 2022-10-05; International Monetary Fund (IMF), Statistics Department (Government Finance Division) Questionnaire.",ECGTE,Environmental Taxes,"Environment, Climate Change, Government Policy, Taxes, Environmental Taxes",Domestic Currency,,,,,,,,,,,,,,,,,,,,,44289310550,41988108560,58406401750,70490695380,81566448910,62077900000,
37,"Armenia, Rep. of",AM,ARM,Environmental Taxes,"Organisation for Economic Co-operation and Development (2020), Environmentally Related Tax Revenue, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=ERTR. Accessed on 2022-10-05; International Monetary Fund (IMF), Statistics Department (Government Finance Division) Questionnaire.",ECGTE,Environmental Taxes,"Environment, Climate Change, Government Policy, Taxes, Environmental Taxes",Percent of GDP,,,,,,,,,,,,,,,,,,,,,0.878123146425478,0.828610155697514,1.04962659852605,1.17151874697359,1.24656025491517,1.00422635387128,
38,"Armenia, Rep. of",AM,ARM,Taxes on Energy (including fuel for transport),"Organisation for Economic Co-operation and Development (2020), Environmentally Related Tax Revenue, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=ERTR. Accessed on 2022-10-05; International Monetary Fund (IMF), Statistics Department (Government Finance Division) Questionnaire.",ECGTEN,Taxes on Energy (Including Fuel for Transport),"Environment, Climate Change, Government Policy, Taxes, Environmental Taxes, Taxes on Energy (Including Fuel for Transport)",Domestic Currency,,,,,,,,,,,,,,,,,,,,,285120240,315581370,310139670,305674280,257217300,262500000,
39,"Armenia, Rep. of",AM,ARM,Taxes on Energy (including fuel for transport),"Organisation for Economic Co-operation and Development (2020), Environmentally Related Tax Revenue, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=ERTR. Accessed on 2022-10-05; International Monetary Fund (IMF), Statistics Department (Government Finance Division) Questionnaire.",ECGTEN,Taxes on Energy (Including Fuel for Transport),"Environment, Climate Change, Government Policy, Taxes, Environmental Taxes, Taxes on Energy (Including Fuel for Transport)",Percent of GDP,,,,,,,,,,,,,,,,,,,,,0.00565307247164604,0.00622780918452819,0.00557354737043173,0.00508014777776271,0.00393098960836681,0.00424642937166385,
40,"Armenia, Rep. of",AM,ARM,Taxes on Pollution,"Organisation for Economic Co-operation and Development (2020), Environmentally Related Tax Revenue, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=ERTR. Accessed on 2022-10-05; International Monetary Fund (IMF), Statistics Department (Government Finance Division) Questionnaire.",ECGTEP,Taxes on Pollution,"Environment, Climate Change, Government Policy, Taxes, Environmental Taxes, Taxes on Pollution",Domestic Currency,,,,,,,,,,,,,,,,,,,,,8560494270,7700026420,9598325610,11813980970,22500230740,6958200000,
41,"Armenia, Rep. of",AM,ARM,Taxes on Pollution,"Organisation for Economic Co-operation and Development (2020), Environmentally Related Tax Revenue, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=ERTR. Accessed on 2022-10-05; International Monetary Fund (IMF), Statistics Department (Government Finance Division) Questionnaire.",ECGTEP,Taxes on Pollution,"Environment, Climate Change, Government Policy, Taxes, Environmental Taxes, Taxes on Pollution",Percent of GDP,,,,,,,,,,,,,,,,,,,,,0.169728723928616,0.151955406174914,0.172492356312119,0.196342227979654,0.343865569014197,0.112561923252996,
42,"Armenia, Rep. of",AM,ARM,Taxes on Resources,"Organisation for Economic Co-operation and Development (2020), Environmentally Related Tax Revenue, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=ERTR. Accessed on 2022-10-05; International Monetary Fund (IMF), Statistics Department (Government Finance Division) Questionnaire.",ECGTER,Taxes on Resources,"Environment, Climate Change, Government Policy, Taxes, Environmental Taxes, Taxes on Resources",Domestic Currency,,,,,,,,,,,,,,,,,,,,,22695180580,20211168440,32673639220,42919631040,41789659120,47898900000,
43,"Armenia, Rep. of",AM,ARM,Taxes on Resources,"Organisation for Economic Co-operation and Development (2020), Environmentally Related Tax Revenue, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=ERTR. Accessed on 2022-10-05; International Monetary Fund (IMF), Statistics Department (Government Finance Division) Questionnaire.",ECGTER,Taxes on Resources,"Environment, Climate Change, Government Policy, Taxes, Environmental Taxes, Taxes on Resources",Percent of GDP,,,,,,,,,,,,,,,,,,,,,0.449976825832616,0.398855295040637,0.587180852926896,0.713301977026825,0.638661224334099,0.774854460306247,
44,"Armenia, Rep. of",AM,ARM,Taxes on Transport (excluding fuel for transport),"Organisation for Economic Co-operation and Development (2020), Environmentally Related Tax Revenue, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=ERTR. Accessed on 2022-10-05; International Monetary Fund (IMF), Statistics Department (Government Finance Division) Questionnaire.",ECGTET,Taxes on Transport (Excluding Fuel for Transport),"Environment, Climate Change, Government Policy, Taxes, Environmental Taxes, Taxes on Transport (Excluding Fuel for Transport)",Domestic Currency,,,,,,,,,,,,,,,,,,,,,12748515460,13761332330,15824297250,15451409090,17019341750,6958300000,
45,"Armenia, Rep. of",AM,ARM,Taxes on Transport (excluding fuel for transport),"Organisation for Economic Co-operation and Development (2020), Environmentally Related Tax Revenue, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=ERTR. Accessed on 2022-10-05; International Monetary Fund (IMF), Statistics Department (Government Finance Division) Questionnaire.",ECGTET,Taxes on Transport (Excluding Fuel for Transport),"Environment, Climate Change, Government Policy, Taxes, Environmental Taxes, Taxes on Transport (Excluding Fuel for Transport)",Percent of GDP,,,,,,,,,,,,,,,,,,,,,0.2527645241926,0.271571645297435,0.284379841916604,0.256794394189351,0.260102471958509,0.112563540940376,
46,Australia,AU,AUS,Environmental Taxes,"Organisation for Economic Co-operation and Development (2020), Environmentally Related Tax Revenue, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=ERTR. Accessed on 2022-10-05; International Monetary Fund (IMF), Statistics Department (Government Finance Division) Questionnaire.",ECGTE,Environmental Taxes,"Environment, Climate Change, Government Policy, Taxes, Environmental Taxes",Domestic Currency,13808000000,14148000000,16388900000,17887700000,17078300000,17590900000,18106000000,19349400000,20108700000,20768100000,20808000000,21938000000,22977000000,22128000000,23970000000,25354000000,26019000000,34457270000,35788500000,28872000000,29896000000,29650050000,13021280000,13220970000,12305560000,11499560000,
